# batches.csv

```csv id="38b6z5"
batchid,school,coursename,mode,duration,startdate,enddate,timing,campus,mentor,seatsavailable,totalcapacity,status
B026,Tech School,Dashboard Mastery in Power BI + Excel,Online,6 Weeks,2026-06-28,2026-08-09,7:30 PM - 9:00 PM,Online,Radhika E K,22,40,Admission Open
B027,Tech School,Full Stack MERN Development,Offline,6 Months,2026-07-01,2027-01-01,10:00 AM - 2:00 PM,Calicut,Muhammad Sajfar,5,18,Admission Open
B028,Tech School,Python for Beginners,Online,6 Weeks,2026-07-10,2026-08-21,7:00 PM - 8:30 PM,Online,Radhika E K,30,50,Admission Open
B029,Tech School,AI Agent Development Bootcamp,Online,8 Weeks,2026-07-15,2026-09-10,8:00 PM - 9:30 PM,Online,Mohammed Nazil K,12,25,Admission Open
B030,Tech School,Machine Learning Fundamentals,Offline/Online,3 Months,2026-08-01,2026-11-01,6:30 PM - 8:30 PM,Hybrid,Radhika E K,16,30,Admission Open
B031,Tech School,Cloud Computing Essentials,Online,5 Weeks,2026-08-05,2026-09-09,7:00 PM - 8:30 PM,Online,Muhammad Sajfar,20,35,Admission Open
B032,Tech School,Cybersecurity Basics,Online,2 Months,2026-08-12,2026-10-12,8:00 PM - 9:00 PM,Online,Mohammed Nazil K,18,40,Admission Open
B033,Tech School,API Development with FastAPI,Online,6 Weeks,2026-08-20,2026-10-01,7:30 PM - 9:00 PM,Online,Radhika E K,14,30,Admission Open
B034,Tech School,DevOps & Deployment Mastery,Offline,3 Months,2026-09-01,2026-12-01,10:00 AM - 1:00 PM,Calicut,Muhammad Sajfar,6,20,Admission Open
B035,Tech School,AI Tools Productivity Program,Online,4 Weeks,2026-09-10,2026-10-10,6:00 PM - 7:00 PM,Online,Mohammed Nazil K,35,60,Admission Open
```
